CourseCode,registration,Professor
BIO522,29,N. Arul Murugan
BIO531,29,Sriram K.
BIO543,129,G P S Raghava
BIO545,42,Gaurav Ahuja
BIO548,49,Tarini Ghosh
BIO563,34,Arjun Ray
BIO541,37,Vibhor Kumar
CSE655,2,Ganesh Bagler
CSE530,188,Dhruv Kumar
CSE572,5,Vinayak Abrol
CSE542,112,A V Subramanyam
CSE322,119,Syamantak Das
CSE344/ ECE344,175,Saket Anand
CSE350,62,B N Jain (V)
CSE354,9,Sambuddho Chakravarty
CSE347; DES525,114,Arun Balaji Buduru
CSE502,14,Vivek Kumar
CSE508,323,Rajiv Ratn Shah
CSE518,6,Bapi Chatterjee
CSE523,11,Rajiv Raman
CSE526,6,Subhabrata Samajder
CSE535,152,Mukulika Maity
CSE538,56,Arani Bhattacharya
CSE557,40,Vikram Goyal
CSE560,12,Ojaswa Sharma
CSE567,6,Rinku Shah
CSE573,96,Pushpendra Singh
CSE618,4,Gautam Shroff (Aj)
CSE622,14,Debajyoti Bera
CSE632,8,V. Raghava Mutharaju
CSE640,253,Angshul Majumdar
CSE641,127,Md. Shad Akhtar
CSE660,9,C. Anantaram (V)
CSE343 ,97,Anubha Gupta
ECE432,78,Shobha Sunder Ram
ECE513,62,Sneh Saurabh
ECE537,6,Vivek Ashok Bohara
ECE543,38,Anand Srivastava
ECE571,7,Chanekar Prasad Vilas
ECE573,32,Sumit J Darak
ECE577,22,Sayan Basu Roy
ECE666,27,Pravesh Biyani
ECE5et,3,Sanat K Biswas
ECE611,44,Anuj Grover
ECE634,9,Manuj Mukherjee
ECE667A,7,Dr. Dattesh (G) & Dr. Rajesh (G)
ENG599s,274,Sanat K Biswas
DES501,19,Angshu Das (PoP)
DES512,38,Aman Samuel (V)
DES523,94,Dhurjati Majumdar (PoP)
MTH300,60,Sankha Basu
MTH310,13,Samaresh Chatterji (V)
MTH311,3,Krishanu Roy (L)
MTH372,90,Monika Arora
MTH374,52,Subhashree Mohapatra
MTH510,8,Debika Banerjee
MTH514,3,Anuradha Sharma
MTH546,5,Subhajit Ghosechowdhury (L)
MTH542,6,Satish Pandey
MTH544,4,Kaushik Kalyanaraman
MTH599,3,Sarthok Sircar
ECO332,188,Pankaj Vajpayee (PoP)
ENT404,38,Jyoti Sharma (G)
ENT413,25,Pankaj Vajpayee (PoP)
ENTxxx,169,Pinaki Dasgupta (G)
ESC207,31,D K Sharma (V)
PSY302,49,Venkata Ratnadeep Suri
PSY305,247,Sonia Baloni Ray
PSY306,214,Mrinmoy Chakrabarty
SOC313,58,Smriti Singh
SSH300,82,Nishad Patnaik
SSH325,119,Manohar Kumar
ECO333,86,Souvik Dutta
MTH377,229,Rakesh Chaturvedi
