Subject Name,Codes,,
cse 2021,,,
Computer Networks,CSE232,,
Technical Communication,COM301A,,
Environmental Sciences,ESC205A,,
,,,
ece 2021,,,
Digital Communication Systems,ECE340,,
Digital Signal Processing,ECE351,,
Technical Communication,COM301A,,
Environmental Sciences,ESC205A,,
,,,
mth 2021 sem 5,,,
Stochastic Processes and Applications,MTH371,,
Technical Communication,COM301A,,
Environmental Sciences,ESC205A,,
special elective 3 -  Real Analysis II Scientific Computing,MTH340,MTH373,
,,,
mth 2021 sem 6,,,
Statistical Inference,MTH372,,
Optimisation bucket[ linear /convex optimisation],MTH374,MTH377,
,,,
csai 2021 sem 5,,,
Machine Learning,CSE343,,
[Computer Architecture/ Computer Networks/ Compilers]*,ECE511,CSE232,CSE301
Artificial Intelligence,CSE643,,
Technical Communication,COM301A,,
Environmental Sciences,ESC205A,,
,,,
csd 2021 Semester 5,,,
Computer Networks,CSE232,,
Technical Communication,COM301A,,
Environmental Sciences,ESC205A,,
,,,
csss 2021 Semester 5,,,
Technical Communication,COM301A,,
Environmental Sciences,ESC205A,,
,,,
csb 2021 sem 5,,,
Biophysics,BIO361,,
Algorithm in Bioinformatics,BIO321,,
Technical Communication,COM301A,,
Environmental Sciences,ESC205A,,
,,,
eve 2021 sem 5,,,
Digital VLSI Design,ECE314,,
Analog CMOS Design,ECE315,,
VLSI Design Flow,ECE513,,
Technical Communication,COM301A,,
Environmental Sciences,ESC205A,,
